"1-к. квартира, 34,3 м², 4/17 эт.",3395700,р-н Зареченский,34.3,99000,1,монолитный,17,4, 1 кв. 2024 года
"Квартира-студия, 24,6 м², 5/17 эт.",2583000,р-н Зареченский,44736,105000,0,монолитный,17,5, 1 кв. 2024 года
"Квартира-студия, 24,6 м², 9/17 эт.",2583000,р-н Зареченский,44736,105000,0,монолитный,17,9, 1 кв. 2024 года
"1-к. квартира, 39,2 м², 14/17 эт.",3920000,р-н Зареченский,39.2,100000,1,монолитный,17,14, 1 кв. 2024 года
"1-к. квартира, 39,8 м², 5/17 эт.",3940200,р-н Зареченский,39.8,99000,1,монолитный,17,5, 1 кв. 2024 года
"3-к. квартира, 68,4 м², 16/17 эт.",5677200,р-н Зареченский,68.4,83000,3,монолитный,17,16, 1 кв. 2024 года
"1-к. квартира, 39,3 м², 7/17 эт.",3910350,р-н Зареченский,39.3,99500,1,монолитный,17,7, 1 кв. 2024 года
"2-к. квартира, 59,6 м², 7/17 эт.",5155400,р-н Зареченский,59.6,86500,2,монолитный,17,7, 1 кв. 2024 года
"2-к. квартира, 56,1 м², 2/17 эт.",4656300,р-н Зареченский,56.1,83000,2,монолитный,17,2, 1 кв. 2024 года
"1-к. квартира, 39,3 м², 8/17 эт.",3910350,р-н Зареченский,39.3,99500,1,монолитный,17,8, 1 кв. 2024 года
"2-к. квартира, 59,6 м², 6/17 эт.",5155400,р-н Зареченский,59.6,86500,2,монолитный,17,6, 1 кв. 2024 года
"Квартира-студия, 24,6 м², 7/17 эт.",2583000,р-н Зареченский,44736,105000,0,монолитный,17,7, 1 кв. 2024 года
"3-к. квартира, 68,5 м², 9/17 эт.",5377250,р-н Зареченский,68.5,78500,3,монолитный,17,9, 1 кв. 2024 года
"1-к. квартира, 33,8 м², 2/17 эт.",3346200,р-н Зареченский,33.8,99000,1,монолитный,17,2, 1 кв. 2024 года
"1-к. квартира, 39,2 м², 16/17 эт.",3920000,р-н Зареченский,39.2,100000,1,монолитный,17,16, 1 кв. 2024 года
"2-к. квартира, 58,8 м², 9/17 эт.",5145000,р-н Зареченский,58.8,87500,2,монолитный,17,9, 1 кв. 2024 года
"Квартира-студия, 24,8 м², 1/17 эт.",2604000,р-н Зареченский,44797,105000,0,монолитный,17,1, 1 кв. 2024 года
"2-к. квартира, 59,2 м², 2/17 эт.",5091200,р-н Зареченский,59.2,86000,2,монолитный,17,2, 1 кв. 2024 года
"3-к. квартира, 68,5 м², 8/17 эт.",5377250,р-н Зареченский,68.5,78500,3,монолитный,17,8, 1 кв. 2024 года
"2-к. квартира, 57,8 м², 6/17 эт.",4826300,р-н Зареченский,57.8,83500,2,монолитный,17,6, 1 кв. 2024 года
"2-к. квартира, 59,6 м², 12/13 эт.",4800000,р-н Зареченский,59.6,80537,2,монолитный,13,12, 4 кв. 2022 года
"3-к. квартира, 68,4 м², 11/17 эт.",5677200,р-н Зареченский,68.4,83000,3,монолитный,17,11, 1 кв. 2024 года
"Квартира-студия, 24,4 м², 16/17 эт.",2586400,р-н Зареченский,44675,106000,0,монолитный,17,16, 1 кв. 2024 года
"2-к. квартира, 65 м², 1/17 эт.",6175000,р-н Зареченский,65,95000,2,монолитный,17,1, 1 кв. 2024 года
"1-к. квартира, 44 м², 4/17 эт.",3790000,р-н Пролетарский,44,86136,1,панельный,17,4, сдан
